tic,datafqtr,atq,cshoq,niq,prccq
SWKS,2012Q3,2089.893,190.391,49.317,27.32
SWKS,2012Q4,2136.646,192.296,61.602,23.56
SWKS,2013Q1,2151.107,191.923,66.5,20.3
SWKS,2013Q2,2216.9,191.1,61.7,22.025
SWKS,2013Q3,2217.9,187.7,65.7,21.89
SWKS,2013Q4,2333.1,187.9,84.2,24.84
SWKS,2014Q1,2435.4,188.7,94.5,28.56
SWKS,2014Q2,2534.6,189.4,76.9,37.52
SWKS,2014Q3,2688.9,189.2,111.4,46.96
SWKS,2014Q4,2973.8,189.2,174.9,58.05
SWKS,2015Q1,3191,190.8,195.2,72.71
SWKS,2015Q2,3313.2,191,166.5,98.29
SWKS,2015Q3,3518.3,191,207.4,104.1
SWKS,2015Q4,3719.4,190.3,229.2,84.21
SWKS,2016Q1,3930.5,191.6,355.3,76.83
SWKS,2016Q2,3958.2,190.2,208.1,77.9
SWKS,2016Q3,3955.7,187.5,185,63.28
SWKS,2016Q4,3855.4,184.9,246.8,76.14
SWKS,2017Q1,4065.7,184.8,257.8,74.66
SWKS,2017Q2,4166.8,184.5,224.9,97.98
SWKS,2017Q3,4310.2,183.7,246.2,95.95
SWKS,2017Q4,4573.6,183.1,281.3,101.9
SWKS,2018Q1,4594.3,182.4,70.4,94.95
SWKS,2018Q2,4745.1,182.1,276,100.26
SWKS,2018Q3,4783.3,179.7,286.5,96.65
SWKS,2018Q4,4828.9,177.4,285.5,90.71
SWKS,2019Q1,4738.9,174.1,284.9,67.02
SWKS,2019Q2,4765.5,172.7,213.9,82.48
SWKS,2019Q3,4842.3,171.6,144.2,77.27
SWKS,2019Q4,4839.6,170.1,210.6,79.25
SWKS,2020Q1,5091.8,170.5,257.1,120.88
SWKS,2020Q2,4981.9,167.5,181,89.38
SWKS,2020Q3,5072.4,167.1,129.8,127.86
SWKS,2020Q4,5106.7,165.6,246.9,145.5
SWKS,2021Q1,5419.8,164.9,509.3,152.88
SWKS,2021Q2,5734.4,165.1,325,183.48
SWKS,2021Q3,7486.2,165.1,337.7,191.75
SWKS,2021Q4,8590.7,165.3,326.3,164.78
SWKS,2022Q1,8618.5,164.5,399.9,155.14
SWKS,2022Q2,8511.6,161.7,305.8,133.28
SWKS,2022Q3,8694.6,160.7,267.3,92.64
SWKS,2022Q4,8873.8,160.2,302.2,85.27
SWKS,2023Q1,8947.4,159.1,309.4,91.13
SWKS,2023Q2,8841.7,159.2,232.8,117.98
